order_id,date,customer_id,customer_segment,product_id,product_name,category,sub_category,region,city,units,unit_price,discount,shipping_cost,returned
ORD-1001,2024-01-04,CUST-201,Consumer,PROD-A1,Wireless Headphones,Electronics,Audio,North,Delhi,2,2990,0.05,120,No
ORD-1002,2024-01-06,CUST-312,Corporate,PROD-B3,Ergonomic Chair,Furniture,Seating,West,Mumbai,5,8500,0.10,450,No
ORD-1003,2024-01-09,CUST-145,Consumer,PROD-C2,Yoga Mat Pro,Sports,Fitness,South,Bangalore,3,1299,0.00,80,No
ORD-1004,2024-01-11,CUST-408,Home Office,PROD-A1,Wireless Headphones,Electronics,Audio,East,Kolkata,1,2990,0.00,120,Yes
ORD-1005,2024-01-14,CUST-267,Consumer,PROD-D1,Coffee Maker Deluxe,Appliances,Kitchen,North,Delhi,1,4599,0.15,200,No
ORD-1006,2024-01-17,CUST-533,Corporate,PROD-B2,Standing Desk,Furniture,Desks,West,Pune,3,12500,0.08,600,No
ORD-1007,2024-01-20,CUST-189,Consumer,PROD-E3,Running Shoes X,Sports,Footwear,South,Chennai,2,3499,0.10,100,No
ORD-1008,2024-01-23,CUST-621,Home Office,PROD-A2,Noise Cancel Buds,Electronics,Audio,North,Noida,4,1999,0.05,80,No
ORD-1009,2024-01-26,CUST-374,Consumer,PROD-C1,Resistance Bands,Sports,Fitness,East,Kolkata,6,599,0.00,60,No
ORD-1010,2024-01-29,CUST-445,Corporate,PROD-D2,Air Fryer Pro,Appliances,Kitchen,West,Mumbai,2,6799,0.12,250,No
ORD-1011,2024-02-02,CUST-201,Consumer,PROD-E1,Formal Sneakers,Sports,Footwear,North,Delhi,1,4299,0.00,100,No
ORD-1012,2024-02-05,CUST-588,Home Office,PROD-B3,Ergonomic Chair,Furniture,Seating,South,Hyderabad,2,8500,0.05,450,Yes
ORD-1013,2024-02-08,CUST-312,Corporate,PROD-A1,Wireless Headphones,Electronics,Audio,West,Mumbai,8,2990,0.15,120,No
ORD-1014,2024-02-11,CUST-729,Consumer,PROD-D1,Coffee Maker Deluxe,Appliances,Kitchen,East,Kolkata,1,4599,0.00,200,No
ORD-1015,2024-02-14,CUST-156,Consumer,PROD-C2,Yoga Mat Pro,Sports,Fitness,North,Gurgaon,5,1299,0.10,80,No
ORD-1016,2024-02-17,CUST-490,Corporate,PROD-B1,Office Bookshelf,Furniture,Storage,South,Bangalore,4,3200,0.08,300,No
ORD-1017,2024-02-20,CUST-333,Home Office,PROD-A2,Noise Cancel Buds,Electronics,Audio,West,Pune,3,1999,0.05,80,No
ORD-1018,2024-02-23,CUST-612,Consumer,PROD-E3,Running Shoes X,Sports,Footwear,East,Bhubaneswar,2,3499,0.00,100,Yes
ORD-1019,2024-02-26,CUST-278,Consumer,PROD-D2,Air Fryer Pro,Appliances,Kitchen,North,Delhi,1,6799,0.10,250,No
ORD-1020,2024-02-29,CUST-445,Corporate,PROD-B2,Standing Desk,Furniture,Desks,South,Chennai,6,12500,0.12,600,No
ORD-1021,2024-03-03,CUST-201,Consumer,PROD-C1,Resistance Bands,Sports,Fitness,West,Mumbai,10,599,0.00,60,No
ORD-1022,2024-03-06,CUST-750,Home Office,PROD-A1,Wireless Headphones,Electronics,Audio,North,Delhi,3,2990,0.05,120,No
ORD-1023,2024-03-09,CUST-388,Consumer,PROD-D1,Coffee Maker Deluxe,Appliances,Kitchen,East,Kolkata,2,4599,0.10,200,No
ORD-1024,2024-03-12,CUST-533,Corporate,PROD-B3,Ergonomic Chair,Furniture,Seating,South,Hyderabad,7,8500,0.15,450,No
ORD-1025,2024-03-15,CUST-189,Consumer,PROD-E1,Formal Sneakers,Sports,Footwear,West,Pune,1,4299,0.00,100,No
ORD-1026,2024-03-18,CUST-621,Home Office,PROD-A2,Noise Cancel Buds,Electronics,Audio,North,Noida,6,1999,0.08,80,No
ORD-1027,2024-03-21,CUST-467,Consumer,PROD-C2,Yoga Mat Pro,Sports,Fitness,East,Kolkata,4,1299,0.05,80,Yes
ORD-1028,2024-03-24,CUST-312,Corporate,PROD-D2,Air Fryer Pro,Appliances,Kitchen,West,Mumbai,3,6799,0.08,250,No
ORD-1029,2024-03-27,CUST-856,Consumer,PROD-B1,Office Bookshelf,Furniture,Storage,South,Bangalore,2,3200,0.00,300,No
ORD-1030,2024-03-30,CUST-445,Corporate,PROD-E3,Running Shoes X,Sports,Footwear,North,Jaipur,4,3499,0.10,100,No
